Params,Error
"[7.06455773327433, 0.8413719529220406, 0.6825817790119941, 0.1755230914264482, 0.0006276871912727663, 327.20866566927157, 0.8340412930227625, 0.7078922121380549]",list index out of range
"[30.23699663082828, 0.3863197419458025, 0.3409685490598121, 0.12996330134446252, 0.11501263389069342, 325.66601114188813, 0.28881277391340626, 0.560964040160824]",list index out of range
"[33.294873673215726, 0.034986473964184056, 0.5112247331656806, 0.6968531119179517, 0.9600371248686127, 287.92582851211023, 0.7542587226769264, 0.9646331900106421]",list index out of range
"[43.892408957872114, 0.13109657327405996, 0.4522239606742879, 0.4014513752918839, 0.651753914033489, 339.85815015508604, 0.7294390168844311, 0.46809677040116154]",'MixerSettler' object has no attribute '_inlet_cost'
"[8.222864595829789, 0.4385118777745388, 0.05306598882363027, 0.14014323465334397, 0.91110260464846, 348.6454700590009, 0.6849755537571295, 0.08278365873274085]",list index out of range
"[12.436873302002445, 0.15997288731131895, 0.10612390946866618, 0.71634904773859, 0.2827732034462732, 321.47767791673243, 0.801888846660215, 0.9695745653464977]",list index out of range
"[16.77726134232517, 0.09721957691161559, 0.34442440985750716, 0.2702585868405013, 0.2825514270894173, 298.9907075411396, 0.21909598904153282, 0.8957037267596366]",list index out of range
"[28.832861561891548, 0.42631007245944946, 0.22988114208385566, 0.5442274579143727, 0.6206715194756416, 339.3762220034566, 0.9071129993132989, 0.7283123507804292]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[25.28315605615896, 0.34823729653138535, 0.07378093986822905, 0.7806770558608669, 0.9509364503399182, 323.41693199302017, 0.690816077758164, 0.2061863070534028]",list index out of range
"[47.71487127678739, 0.7876870184721311, 0.9767291479127165, 0.6190582043439974, 0.8565480975432876, 276.5007738104928, 0.8739593845941325, 0.40332251499654814]",'HXutility' object has no attribute '_inlet_cost'
"[37.89522481828855, 0.3762162390365621, 0.22012823832626038, 0.5485938942562334, 0.019722265329445033, 326.4951735743067, 0.09891455511941594, 0.04555716899066417]",list index out of range
"[46.54148315590219, 0.4170104333913632, 0.19986587100876205, 0.8932493761249704, 0.610017251685536, 294.0384938857894, 0.5667323248404845, 0.49925011929682817]",'HXutility' object has no attribute '_inlet_cost'
"[41.02376678522916, 0.12936482559293438, 0.6762304032402839, 0.6309191123263449, 0.96961887131168, 281.48167116689353, 0.43771102030269726, 0.31055517117659914]",'MESHDistillation' object has no attribute '_inlet_cost'
"[41.33211628806574, 0.8507814387009873, 0.2993261405115732, 0.5428143108222641, 0.2081847880446245, 315.2962324097836, 0.912622871430945, 0.296034040657001]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[2.5035130148013787, 0.3475580358900383, 0.7908156162806803, 0.6974318139132416, 0.12567292604021918, 312.8784962015078, 0.37336118854765094, 0.773197895575128]",'MESHDistillation' object has no attribute '_inlet_cost'
"[25.355802619384185, 0.14394532516526962, 0.9082486524523786, 0.1571377685487855, 0.054501216152812546, 275.0550397822808, 0.9578734150714098, 0.018810814643264846]",list index out of range
"[34.872932806558815, 0.77196819376375, 0.6302744755916697, 0.12601250863819363, 0.2981035484534858, 273.029395381863, 0.6422115571968766, 0.3384948306153909]",list index out of range
"[15.105811674525786, 0.09697399482275049, 0.1773031564286359, 0.052389546215662185, 0.44844757688145553, 323.32919071282726, 0.4009647419155703, 0.4639021341714521]",list index out of range
"[46.80756142500633, 0.08508287448811257, 0.5986786302096877, 0.17330329045515555, 0.5107375162221568, 334.28389368901685, 0.8292248010875827, 0.32443031220393886]",'HXutility' object has no attribute '_inlet_cost'
"[1.803482488803053, 0.8658732610182152, 0.28942186817138765, 0.09184589394622715, 0.1269236390082003, 295.0486597391488, 0.6925859706045718, 0.571857573649715]",list index out of range
"[30.98027216117417, 0.9036927955908638, 0.9714216851014164, 0.22732657241362192, 0.30305476381411006, 284.905221765991, 0.9511959333801788, 0.6126395470917466]",list index out of range
"[8.72484003572507, 0.42416621916372677, 0.2695874062684382, 0.2679651714649129, 0.8391617848071481, 338.3736315831376, 0.3485094998847916, 0.5723509302794597]",'MESHDistillation' object has no attribute '_inlet_cost'
"[37.32850340572673, 0.13907958853970878, 0.5699728160753121, 0.979728379231927, 0.9477263732582931, 275.56208614426885, 0.6032569135655731, 0.44290586743209404]",'MESHDistillation' object has no attribute '_inlet_cost'
"[34.071210602700035, 0.34359178323697515, 0.17183591564167625, 0.8946211024747294, 0.3430916541660684, 339.90415584464233, 0.4748942085069125, 0.734862641041747]",'MixerSettler' object has no attribute '_inlet_cost'
"[46.775494716064216, 0.6288479406708616, 0.1827213849483121, 0.15802012109582309, 0.18732950926894207, 308.2726370454224, 0.62523581605581, 0.7209542472401593]",list index out of range
"[11.948973206138803, 0.0108558744592574, 0.32298698337173215, 0.44677893737146657, 0.09994535831855349, 308.0947364591352, 0.9626792865277668, 0.7413597690882294]",list index out of range
"[46.72017811961301, 0.2907986755753512, 0.11625251252867873, 0.424371933783238, 0.9633327021155774, 333.31619638326526, 0.29941074417270963, 0.18100694994442418]",list index out of range
"[35.939418761899894, 0.04287189027452488, 0.5018952397446875, 0.6476745942292349, 0.298968117330321, 299.7978382969552, 0.037005779568199657, 0.7139053165908406]",list index out of range
"[32.84948702731751, 0.5484295916423481, 0.29025991322628963, 0.5284320966888296, 0.864654702236055, 277.70233542344226, 0.6864543759071144, 0.10607896942215542]",'MESHDistillation' object has no attribute '_inlet_cost'
"[49.74303261348385, 0.6059219727204584, 0.6197017650403875, 0.08590157193336515, 0.7477412957865227, 328.8095544024103, 0.05121068377950215, 0.74924439303442]",'MESHDistillation' object has no attribute '_inlet_cost'
"[17.94951807299124, 0.5061298237408376, 0.9794921902073863, 0.4235826972776318, 0.3297465476657912, 299.85721931170764, 0.42338260284339085, 0.8657120216191017]",'MixerSettler' object has no attribute '_inlet_cost'
"[6.308863099870031, 0.6243102220926994, 0.9172236914495124, 0.5975921201653028, 0.31535476466028683, 345.34440387161567, 0.7648942527347476, 0.03507160462180668]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[10.788848728386146, 0.5805977170986277, 0.39962744303504016, 0.38641794059096546, 0.05731901089484438, 342.3442948223113, 0.6204209477584633, 0.6473474246876797]",list index out of range
"[31.07862118720693, 0.4875628495694013, 0.05192037383686335, 0.040240154470068096, 0.2868098366269091, 292.53287688771286, 0.7728549448665941, 0.5734626519311392]",list index out of range
"[24.539082006115144, 0.2304110473818589, 0.12089121453346374, 0.9447730877967153, 0.9170068730958583, 300.7711265101529, 0.8255081341362712, 0.8469583429918378]",list index out of range
"[44.56644736627979, 0.9681629822684784, 0.6649250124768448, 0.620133105308058, 0.16596501621978813, 308.6846203888388, 0.49496282634999395, 0.018919712937117163]",list index out of range
"[23.623120466141483, 0.7916093588837887, 0.04879853954451806, 0.5735515982501023, 0.18736954509440604, 332.74858480132184, 0.18289424029562046, 0.28776618276331706]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[40.76278609821468, 0.49859470451695675, 0.5042950542794035, 0.26842346607335127, 0.0010921009942329992, 348.787149821488, 0.9934069750480409, 0.7685215918932959]",list index out of range
"[25.278841734794817, 0.11503686802231139, 0.9765958964024961, 0.5973101905342121, 0.8329197709709801, 334.56038971291684, 0.6586541793817818, 0.0951471018882316]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[4.384517500595386, 0.5161554727246882, 0.9644267554413296, 0.18161229328580789, 0.48017149910416373, 313.2523946827719, 0.803555568159918, 0.5707831961988518]",'HXutility' object has no attribute '_inlet_cost'
"[38.781090427644244, 0.898013074233407, 0.4457647638903139, 0.09932306966637351, 0.13812593642365542, 280.64438123684596, 0.7129415820815742, 0.9575759406294948]",list index out of range
"[1.8649880266685854, 0.27724652423575447, 0.5518787149675717, 0.21077250332735875, 0.39562665023818505, 321.0792829886481, 0.07860804361918945, 0.13857923053147445]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[36.781678435924476, 0.8767503603561421, 0.12202491434246997, 0.26593341912232615, 0.39431237867376273, 277.36944460636016, 0.5034411081248533, 0.9443702177637296]",'HXutility' object has no attribute '_inlet_cost'
"[42.34901002569444, 0.6324257721981827, 0.537567977642232, 0.49501649279825494, 0.06077890845520982, 280.10010451559157, 0.41781259222032463, 0.24291830040325937]",list index out of range
"[32.44916048962436, 0.9533713053004558, 0.06165169352055122, 0.3184348534762306, 0.2901599455211112, 307.8221793046429, 0.08065672016070212, 0.2325057995287317]",'HXutility' object has no attribute '_inlet_cost'
"[30.144728119738392, 0.8044504892648828, 0.5943250414062081, 0.03414196395567384, 0.321559396468203, 289.0764646301671, 0.3475395417676885, 0.677835663089539]",list index out of range
"[47.960076668036024, 0.16257765935157845, 0.11750907706218974, 0.30617209331870454, 0.1809693028934677, 290.9590548959816, 0.629977494122729, 0.05033291084305807]",list index out of range
"[32.928742331221116, 0.5742305791920872, 0.7130123378857662, 0.08834863761848716, 0.5613145328092783, 340.81354008581445, 0.7391652652405003, 0.22380977172729902]",list index out of range
"[25.667828110066996, 0.13047885508240162, 0.7158289266300091, 0.28337419212616, 0.662835059653631, 330.5552187540551, 0.011278655940873987, 0.058300587391284714]",list index out of range
"[43.86344054290602, 0.8311825512607953, 0.8552900633955166, 0.007395302714132084, 0.3749439170836551, 296.00020532087063, 0.1464192794630244, 0.34942563792567194]",list index out of range
"[2.585257330341938, 0.18158392175024807, 0.18200042894875745, 0.23214900731589252, 0.6775232719627212, 304.282502345289, 0.9572441693296388, 0.6628518873632057]",list index out of range
"[11.244188775179317, 0.14775002469601928, 0.21627247066214925, 0.07006430708203458, 0.6697143382319197, 311.38151201941406, 0.38263943719573673, 0.9667772051902337]",list index out of range
"[28.604058944038908, 0.3115567727777661, 0.4545025389276957, 0.3622824846959286, 0.05875264352906088, 325.11171128128694, 0.05636078145836132, 0.7990522737966989]",list index out of range
"[21.555771597381828, 0.7330540355091267, 0.7212034125114909, 0.3274237400675446, 0.31227459759055215, 290.1005803604337, 0.09885943264142777, 0.6475065556719218]",'HXutility' object has no attribute '_inlet_cost'
"[15.325975060974894, 0.18842812646757037, 0.22481314165606822, 0.6873415959352427, 0.4798532496234204, 284.53899931397507, 0.21954109008440026, 0.48558645075606566]",'HXutility' object has no attribute '_inlet_cost'
"[21.491860498622348, 0.7870114644993814, 0.14090871744157457, 0.04848085738556895, 0.758691638613544, 280.04729877985847, 0.592749055488878, 0.2800147813896232]",'MESHDistillation' object has no attribute '_inlet_cost'
"[47.1139132977552, 0.31522586502765276, 0.2857243291048085, 0.2366821272337359, 0.3029044574393752, 275.1764502182223, 0.5294841381832561, 0.4596882632096434]",list index out of range
"[2.647622314779601, 0.873657505591321, 0.9433186692737109, 0.12102365538271907, 0.9930535015805916, 310.9231937894198, 0.6621396541389106, 0.043428205740282215]",'MixerSettler' object has no attribute '_inlet_cost'
"[39.09531060123834, 0.653104547014072, 0.143540787348901, 0.09452406530238686, 0.5886885656735137, 286.8449463829117, 0.20665979195848194, 0.5336046316315074]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[32.21327157424865, 0.08878390469498412, 0.8883147578233198, 0.11681226850818881, 0.5525485568691961, 309.1488435465517, 0.10641642440400381, 0.49328892120223833]",'HXutility' object has no attribute '_inlet_cost'
"[14.763489196712516, 0.6421374254710228, 0.9439623181727064, 0.2848814210856944, 0.9782164867918202, 323.84250290935637, 0.4758438468435052, 0.005920397918441634]",list index out of range
"[42.941728673892946, 0.8945946469004659, 0.34647782419696843, 0.340396314775555, 0.09708919073807937, 339.8505280188396, 0.4019356353420233, 0.046263219418207706]",list index out of range
"[22.88743722823608, 0.9885904449006904, 0.12566189612973178, 0.36169209954124304, 0.8122423500699502, 274.6548563029849, 0.3836091841252233, 0.07632068440908302]",'MESHDistillation' object has no attribute '_inlet_cost'
"[33.31427898810221, 0.7629250973487037, 0.26235918920538487, 0.14720266064597062, 0.568786971995164, 277.99458101482554, 0.3086426069927577, 0.3808781973232476]",'HXutility' object has no attribute '_inlet_cost'
"[37.02572793323196, 0.8820843305260198, 0.8102288721712596, 0.14761401863028611, 0.5861700976168169, 300.6413738936202, 0.2808434302241556, 0.867264468243684]",'HXutility' object has no attribute '_inlet_cost'
"[34.737793426603375, 0.5235326475079652, 0.7935789679332476, 0.14413243111257967, 0.47304575947542443, 295.21517339047745, 0.06728893723877273, 0.9384503566509388]",'HXutility' object has no attribute '_inlet_cost'
"[35.10031236677167, 0.19297733033905304, 0.2525024177787934, 0.8106881339146479, 0.08758375325270974, 305.4327660423383, 0.7971365342421122, 0.4157522313048723]",'HXutility' object has no attribute '_inlet_cost'
"[36.19240149760978, 0.01253808139278692, 0.7056167244042567, 0.17996807040233573, 0.7059373306523946, 308.21876231626044, 0.8595273511593768, 0.8749427475751793]",list index out of range
"[47.908450464895424, 0.43880482296184464, 0.881459344583166, 0.07866823623125413, 0.06860186554366036, 279.6057546280936, 0.8632871459149306, 0.17413506947846225]",list index out of range
"[5.821602595838991, 0.9752648687406569, 0.7884891149119758, 0.5467082983470423, 0.09901936988024206, 341.1572387686363, 0.27344659737479043, 0.1328820535636878]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[29.969298192003905, 0.4473400689147904, 0.8230321428574696, 0.5301049239506775, 0.13262628483127495, 279.3951142934029, 0.734225628692568, 0.009650103618965396]",list index out of range
"[35.306672637087935, 0.42486057522221715, 0.7471847869517685, 0.3655994322173046, 0.4046903941896565, 346.1600805352775, 0.12492776597106547, 0.027479836049779962]",list index out of range
"[23.202499007112813, 0.4065680801059745, 0.5429249147274284, 0.403584660522045, 0.974974519509137, 281.75785798982855, 0.26237985200158576, 0.02368166917594021]",list index out of range
"[43.51359023632504, 0.06827467411381778, 0.40121444524590394, 0.218660962634015, 0.3602351598168254, 276.14943102321826, 0.6141288262852058, 0.33829143353446794]",list index out of range
"[3.7753894160118597, 0.8700410490415644, 0.7234452713527415, 0.579246275966481, 0.03143611062683505, 289.7057854465237, 0.6393748184912053, 0.04236279255237787]",list index out of range
